"","LHS","RHS","support","confidence","lift","count"
"933","{acer,asus,dell,epson}","{apple}",0.0104234527687296,1,1.27810158201499,48
"969","{acer,dell,lenovo,samsung}","{apple}",0.0102062975027144,1,1.27810158201499,47
"1000","{acer,asus,dell,samsung}","{apple}",0.0121606948968512,0.96551724137931,1.23402911366964,56
"1272","{acer,asus,dell,hp,samsung}","{apple}",0.0102062975027144,0.979166666666667,1.25147446572301,47
"1335","{asus,dell,hp,lenovo,microsoft}","{apple}",0.0115092290988056,0.981481481481482,1.2544330341999,53
